%    atsl_version	                 1.0
%         rectime	             300.000
%  ephys_filename	 2006_10_02_0000.abf
%      ephys_chan	          IN 0 extra
%    ev_threshold	            -0.05423
% burst_interval1	              100.00
% burst_interval2	              500.00
%     burst_minev	                   3
%   silentper_dur	             2000.00
% silentper_maxev	                   1
%    data_quality	                 NaN
%         comment	generated by burstdetguifunc
  20.5760        0
  20.5800        0
  20.5976        0
  20.6082        0
  20.6086        0
  20.6474        0
  20.6495        0
  20.8037        0
  20.9939        0
  22.7403        0
  22.7514        0
  22.7650        0
  22.7721        0
  22.7832        0
  22.7954        0
  22.8006        0
  22.8077        0
  22.8128        0
  22.8255        0
  22.8314        0
  22.8370        0
  22.8437        0
  22.8448        0
  22.8496        0
  22.8550        0
  22.8612        0
  22.8619        0
  22.8715        0
  22.8833        0
  22.8993        0
  22.9185        0
  22.9259        0
  22.9402        0
  22.9738        0
  22.9860        0
  23.0141        0
  23.0172        0
  23.0192        0
  23.0544        0
  23.1033        0
  23.1238        0
  23.1822        0
  23.2667        0
  23.2825        0
  23.2852        0
  23.2957        0
  23.3708        0
  23.3712        0
  23.4204        0
  23.5037        0
  23.8739        0
  23.8761        0
  23.8824        0
  23.9033        0
  23.9134        0
  30.1773        0
  30.1773   0.0816
  30.1814        0
  30.1890        0
  30.1989        0
  30.2013        0
  30.2589        0
  33.2656        1
  33.2656   0.5140
  33.2916        0
  33.2919        0
  33.3259        0
  33.3348        0
  33.3425        0
  33.3456        0
  33.3508        0
  33.3619        0
  33.3885        0
  33.4069        0
  33.4205        0
  33.4252        0
  33.4347        0
  33.4481        0
  33.4534        0
  33.4628        0
  33.4758        0
  33.4891        0
  33.5034        0
  33.5183        0
  33.5226        0
  33.5322        0
  33.5386        0
  33.5829        0
  33.5902        0
  33.6196        0
  33.6667        0
  33.6754        0
  33.6987        0
  33.7796        0
  37.2224        0
  37.2749        0
  39.7581        1
  39.7581   1.0845
  39.7863        0
  39.8401        0
  39.8628        0
  39.8653        0
  39.8682        0
  39.8715        0
  39.8721        0
  39.8751        0
  39.8806        0
  39.8839        0
  39.8872        0
  39.8936        0
  39.8985        0
  39.9026        0
  39.9093        0
  39.9150        0
  39.9244        0
  39.9315        0
  39.9408        0
  39.9423        0
  39.9523        0
  39.9695        0
  39.9745        0
  39.9805        0
  39.9946        0
  40.0094        0
  40.0114        0
  40.0559        0
  40.0797        0
  40.1070        0
  40.1169        0
  40.1203        0
  40.1254        0
  40.1320        0
  40.1550        0
  40.1676        0
  40.1822        0
  40.1841        0
  40.1939        0
  40.2006        0
  40.2084        0
  40.2197        0
  40.2379        0
  40.2641        0
  40.2734        0
  40.2777        0
  40.2857        0
  40.2951        0
  40.3242        0
  40.3356        0
  40.3434        0
  40.3864        0
  40.3951        0
  40.4091        0
  40.4368        0
  40.4462        0
  40.4607        0
  40.4887        0
  40.5113        0
  40.5177        0
  40.5234        0
  40.5316        0
  40.5482        0
  40.5921        0
  40.6380        0
  40.6448        0
  40.7450        0
  40.7467        0
  40.8426        0
  44.0560        0
  44.0626        0
  46.4388        2
  46.4388   1.7672
  46.5101        0
  46.5165        0
  46.5229        0
  46.5319        0
  46.5346        0
  46.5448        0
  46.5531        0
  46.5585        0
  46.5643        0
  46.5715        0
  46.5792        0
  46.5838        0
  46.5902        0
  46.5946        0
  46.5949        0
  46.5962        0
  46.6004        0
  46.6051        0
  46.6103        0
  46.6133        0
  46.6217        0
  46.6394        0
  46.6594        0
  46.6657        0
  46.6703        0
  46.6774        0
  46.6886        0
  46.6953        0
  46.7078        0
  46.7183        0
  46.7203        0
  46.7327        0
  46.7470        0
  46.7519        0
  46.7602        0
  46.7767        0
  46.7817        0
  46.7927        0
  46.8025        0
  46.8174        0
  46.8199        0
  46.8397        0
  46.8448        0
  46.8605        0
  46.8627        0
  46.8734        0
  46.8803        0
  46.8880        0
  46.8940        0
  46.9137        0
  46.9271        0
  46.9413        0
  46.9442        0
  46.9547        0
  46.9643        0
  46.9799        0
  46.9892        0
  47.0003        0
  47.0100        0
  47.0141        0
  47.0284        0
  47.0375        0
  47.0453        0
  47.0519        0
  47.0641        0
  47.0704        0
  47.1035        0
  47.1216        0
  47.1334        0
  47.1429        0
  47.1487        0
  47.1765        0
  47.1837        0
  47.1892        0
  47.2246        0
  47.2371        0
  47.2430        0
  47.2542        0
  47.2568        0
  47.2601        0
  47.2896        0
  47.3010        0
  47.3134        0
  47.3286        0
  47.3392        0
  47.3829        0
  47.3924        0
  47.4000        0
  47.4198        0
  47.4311        0
  47.4362        0
  47.4472        0
  47.4598        0
  47.4784        0
  47.5172        0
  47.5489        0
  47.5527        0
  47.5563        0
  47.5912        0
  47.6441        0
  47.6706        0
  47.6797        0
  47.6844        0
  47.6947        0
  47.7232        0
  47.7245        0
  47.7392        0
  47.7513        0
  47.7531        0
  47.7550        0
  47.7935        0
  47.7970        0
  47.8081        0
  47.8692        0
  47.8794        0
  47.9050        0
  47.9097        0
  47.9546        0
  47.9676        0
  48.0002        0
  48.0314        0
  48.0434        0
  48.2061        0
  50.3790        3
  50.3790   2.6672
  50.4183        0
  50.4224        0
  50.4309        0
  50.4388        0
  50.4419        0
  50.4439        0
  50.4500        0
  50.4574        0
  50.4659        0
  50.4722        0
  50.4784        0
  50.4807        0
  50.4827        0
  50.4839        0
  50.4868        0
  50.4885        0
  50.4963        0
  50.5008        0
  50.5011        0
  50.5163        0
  50.5275        0
  50.5404        0
  50.5550        0
  50.5610        0
  50.5748        0
  50.5928        0
  50.5932        0
  50.6080        0
  50.6163        0
  50.6266        0
  50.6293        0
  50.6318        0
  50.6362        0
  50.6507        0
  50.6725        0
  50.6819        0
  50.7165        0
  50.7195        0
  50.7422        0
  50.7518        0
  50.7610        0
  50.7840        0
  50.7868        0
  50.7996        0
  50.8160        0
  50.8306        0
  50.8443        0
  50.8845        0
  50.8934        0
  50.9043        0
  50.9246        0
  50.9268        0
  51.0506        0
  51.0526        0
  51.1672        0
  51.1768        0
  51.1891        0
  51.4237        0
  51.4257        0
  51.4290        0
  51.4302        0
  51.4329        0
  51.4363        0
  51.4400        0
  51.4431        0
  51.4491        0
  51.4552        0
  51.4606        0
  51.4642        0
  51.4689        0
  51.4734        0
  51.4818        0
  51.4845        0
  51.4971        0
  51.5058        0
  51.5171        0
  51.5342        0
  51.5466        0
  51.5565        0
  51.5620        0
  51.5706        0
  51.5887        0
  51.5973        0
  51.5997        0
  51.6115        0
  51.6189        0
  51.6217        0
  51.6372        0
  51.6380        0
  51.6485        0
  51.6509        0
  51.6611        0
  51.6711        0
  51.6843        0
  51.6970        0
  51.7072        0
  51.7274        0
  51.7366        0
  51.7457        0
  51.7592        0
  51.7708        0
  51.7900        0
  51.8002        0
  51.8151        0
  51.8390        0
  51.8491        0
  51.8571        0
  51.8692        0
  51.8879        0
  51.8949        0
  51.9421        0
  51.9727        0
  52.0167        0
  52.0389        0
  52.0496        0
  52.0596        0
  52.0934        0
  52.1177        0
  52.1570        0
  52.2327        0
  52.2469        0
  52.2896        0
  52.4292        0
  52.4386        0
  52.4547        0
  52.5118        0
  52.5220        0
  52.5270        0
  52.5534        0
  52.5640        0
  52.5730        0
  52.6209        0
  52.6263        0
  52.7155        0
  52.7450        0
  52.7519        0
  52.7533        0
  52.7659        0
  52.8422        0
  52.8635        0
  52.9487        0
  52.9978        0
  53.0229        0
  53.0325        0
  53.0395        0
  53.0462        0
  56.9178        2
  56.9178   2.0605
  56.9377        0
  56.9518        0
  56.9669        0
  56.9799        0
  56.9869        0
  56.9911        0
  56.9935        0
  56.9966        0
  57.0033        0
  57.0075        0
  57.0080        0
  57.0144        0
  57.0177        0
  57.0202        0
  57.0250        0
  57.0252        0
  57.0262        0
  57.0300        0
  57.0339        0
  57.0401        0
  57.0690        0
  57.0730        0
  57.0797        0
  57.0904        0
  57.0986        0
  57.1035        0
  57.1186        0
  57.1310        0
  57.1414        0
  57.1522        0
  57.1743        0
  57.1834        0
  57.1872        0
  57.1993        0
  57.2123        0
  57.2259        0
  57.2554        0
  57.2590        0
  57.2653        0
  57.2726        0
  57.2864        0
  57.2965        0
  57.3076        0
  57.3198        0
  57.3458        0
  57.3813        0
  57.3928        0
  57.4486        0
  57.4620        0
  57.4642        0
  57.5052        0
  57.5518        0
  57.5627        0
  57.6725        0
  57.7123        0
  57.7246        0
  57.7361        0
  57.7405        0
  57.7691        0
  57.7794        0
  57.7843        0
  57.8185        0
  57.8283        0
  57.8588        0
  57.8617        0
  57.8707        0
  57.9091        0
  57.9173        0
  57.9292        0
  57.9339        0
  57.9561        0
  57.9680        0
  57.9778        0
  58.0258        0
  58.0395        0
  58.0573        0
  58.0695        0
  58.0878        0
  58.1236        0
  58.1325        0
  58.1406        0
  58.1509        0
  58.1936        0
  58.2351        0
  58.2556        0
  58.3293        0
  58.3982        0
  58.4419        0
  58.4547        0
  58.4716        0
  58.4816        0
  58.4825        0
  58.4932        0
  58.5022        0
  58.5130        0
  58.5311        0
  58.5357        0
  58.5459        0
  58.5620        0
  58.5688        0
  58.5765        0
  58.5924        0
  58.6323        0
  58.6506        0
  58.6567        0
  58.6597        0
  58.6633        0
  58.6722        0
  58.6787        0
  58.6997        0
  58.7190        0
  58.7378        0
  58.7654        0
  58.7740        0
  58.7772        0
  58.7904        0
  58.8189        0
  58.8394        0
  58.8404        0
  58.8502        0
  58.8599        0
  58.9325        0
  58.9783        0
  63.8610        9
  63.8610   9.0841
  63.8896        0
  63.9289        0
  63.9351        0
  63.9389        0
  63.9456        0
  63.9604        0
  63.9653        0
  63.9709        0
